No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 12:56:55,961][0m Trial 51 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.03445367241329024, 'n_estimators': 137, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.43910608575987436, 'min_impurity_decrease': 0.5203898367265135, 'max_features': 0.42476558122703756, 'subsample': 0.927738901864919, 'dropout_rate': 0.9816998391835203, 'ccp_alpha': 3.2096550442379317}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 12:59:41,862][0m Trial 52 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0003692660524331497, 'n_estimators': 473, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.28647786847188417, 'min_impurity_decrease': 0.05797185913302516, 'max_features': 0.996188513455956, 'subsample': 0.2411186748405536, 'dropout_rate': 0.41846455057668486, 'ccp_alpha': 0.626611092010734}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:03:58,123][0m Trial 53 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00031448929877824964, 'n_estimators': 493, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.28839125958455675, 'min_impurity_decrease': 0.05763302557677043, 'max_features': 0.9745110044743223, 'subsample': 0.9488196781754699, 'dropout_rate': 0.07337318950941725, 'ccp_alpha': 2.669428314817568}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:07:43,362][0m Trial 54 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00036572072897857573, 'n_estimators': 447, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.2747218325214425, 'min_impurity_decrease': 0.0543333829374274, 'max_features': 0.9965647923803216, 'subsample': 0.30242294695150385, 'dropout_rate': 0.07266981834472439, 'ccp_alpha': 1.2874493855382194}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:09:11,096][0m Trial 55 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0017489795921995356, 'n_estimators': 318, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.38510740196082943, 'min_impurity_decrease': 0.21084649866518795, 'max_features': 0.5178782319379414, 'subsample': 0.40284345028417884, 'dropout_rate': 0.5084059330044743, 'ccp_alpha': 0.9631050077056907}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:10:50,457][0m Trial 56 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 7.232667304645493e-05, 'n_estimators': 358, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3253968077997095, 'min_impurity_decrease': 0.27811704246981894, 'max_features': 0.9009911299926789, 'subsample': 0.8089934839648106, 'dropout_rate': 0.5630120842401208, 'ccp_alpha': 4.559752917553218}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:12:05,128][0m Trial 57 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.002262376596720427, 'n_estimators': 301, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.38661736712236744, 'min_impurity_decrease': 0.18846987580576843, 'max_features': 0.5237570923830818, 'subsample': 0.42036831975125305, 'dropout_rate': 0.515447596291391, 'ccp_alpha': 0.8288871025698661}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:13:22,912][0m Trial 58 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 3.7276607715481667e-06, 'n_estimators': 273, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.47008642128204653, 'min_impurity_decrease': 0.8726291679717639, 'max_features': 0.03786973551555055, 'subsample': 0.8663200917117946, 'dropout_rate': 0.3481094192045587, 'ccp_alpha': 4.420420718808391}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:14:54,134][0m Trial 59 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00019218433201765374, 'n_estimators': 287, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.26088760914735987, 'min_impurity_decrease': 0.8791754817962234, 'max_features': 0.03021378643380851, 'subsample': 0.615839114838522, 'dropout_rate': 0.3881353737661664, 'ccp_alpha': 4.297280849383005}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:15:56,386][0m Trial 60 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00016115741117533436, 'n_estimators': 245, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.2440674650911954, 'min_impurity_decrease': 0.886555705079417, 'max_features': 0.024641509361327738, 'subsample': 0.6399718696590038, 'dropout_rate': 0.3210744526941029, 'ccp_alpha': 4.381019992916093}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:17:45,462][0m Trial 61 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.8767076591244585e-06, 'n_estimators': 353, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.47842381180948623, 'min_impurity_decrease': 0.29613820763178356, 'max_features': 0.8765098965798507, 'subsample': 0.2783403489081937, 'dropout_rate': 0.6091230801104609, 'ccp_alpha': 4.6692960100600915}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:23:35,446][0m Trial 62 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 4.838674456089275e-06, 'n_estimators': 812, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.43766138513600605, 'min_impurity_decrease': 0.22863584455369165, 'max_features': 0.8103548906358705, 'subsample': 0.3413183092372694, 'dropout_rate': 0.6262879304934605, 'ccp_alpha': 4.973262098952452}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:26:24,340][0m Trial 63 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.8645688489971456e-06, 'n_estimators': 532, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.4656105238911211, 'min_impurity_decrease': 0.09998001861266947, 'max_features': 0.20850358542490974, 'subsample': 0.3110070468799686, 'dropout_rate': 0.6648510108079235, 'ccp_alpha': 3.457417927675242}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:27:16,689][0m Trial 64 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.007859581636085211, 'n_estimators': 188, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.4979573451947226, 'min_impurity_decrease': 0.4255509488803951, 'max_features': 0.35830640155941146, 'subsample': 0.4567466671130448, 'dropout_rate': 0.47144852027319756, 'ccp_alpha': 1.307709259293619}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:30:28,605][0m Trial 65 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.7875219896930647e-06, 'n_estimators': 536, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.31201216018362726, 'min_impurity_decrease': 0.10910932934829934, 'max_features': 0.21554086620137977, 'subsample': 0.24565993929725063, 'dropout_rate': 0.6603771006546638, 'ccp_alpha': 3.4729873414084147}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:31:16,505][0m Trial 66 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.3824771687518867e-06, 'n_estimators': 181, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.05162835393726373, 'min_impurity_decrease': 0.5992672843738445, 'max_features': 0.13557898032727272, 'subsample': 0.8587544076079129, 'dropout_rate': 0.5553401065575003, 'ccp_alpha': 1.961582800169505}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:32:51,191][0m Trial 67 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 1.8908198774059572e-05, 'n_estimators': 406, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.31263944646078884, 'min_impurity_decrease': 0.9215015309841076, 'max_features': 0.9257038279811841, 'subsample': 0.7798998735339946, 'dropout_rate': 0.7081159429132439, 'ccp_alpha': 3.7880875245947925}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:33:08,706][0m Trial 68 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.062028499783903825, 'n_estimators': 122, 'criterion': 'squared_error', 'min_samples_split': 8, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.13979865703417194, 'min_impurity_decrease': 0.519256105058549, 'max_features': 0.8473161043010604, 'subsample': 0.8921191862022241, 'dropout_rate': 0.7218244314372806, 'ccp_alpha': 3.119800552658896}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:33:32,575][0m Trial 69 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.000542998880456987, 'n_estimators': 413, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.23445379378665718, 'min_impurity_decrease': 0.9211723757994272, 'max_features': 0.9321136172194364, 'subsample': 0.7704983806484116, 'dropout_rate': 0.7902906469420276, 'ccp_alpha': 4.195630261292825}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:37:31,401][0m Trial 70 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 2.6325714479587675e-06, 'n_estimators': 792, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.4392785688212998, 'min_impurity_decrease': 0.3286378912949902, 'max_features': 0.8062980532363376, 'subsample': 0.2924084439351147, 'dropout_rate': 0.6080768427573479, 'ccp_alpha': 4.820039045959968}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:38:06,000][0m Trial 71 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.08118710888803198, 'n_estimators': 165, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.12414848608065455, 'min_impurity_decrease': 0.5885259603342823, 'max_features': 0.31673892018198024, 'subsample': 0.9597062457566417, 'dropout_rate': 0.03866613897601852, 'ccp_alpha': 2.979991665393978}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:38:26,765][0m Trial 72 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.05591718555361834, 'n_estimators': 117, 'criterion': 'squared_error', 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1201143193807288, 'min_impurity_decrease': 0.9532738460377613, 'max_features': 0.12776845782064744, 'subsample': 0.9626372720507402, 'dropout_rate': 0.10123820123875786, 'ccp_alpha': 3.104255246009193}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:39:04,384][0m Trial 73 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 4.741522865999577e-06, 'n_estimators': 200, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.4816601588834543, 'min_impurity_decrease': 0.4613152177802884, 'max_features': 0.26104502672772534, 'subsample': 0.5144412617897682, 'dropout_rate': 0.14438961753315843, 'ccp_alpha': 2.724994894074471}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:43:40,955][0m Trial 74 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 5.088722374749768e-06, 'n_estimators': 633, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.48730564386902686, 'min_impurity_decrease': 0.4559647993631906, 'max_features': 0.1646821720964916, 'subsample': 0.4988523059036069, 'dropout_rate': 0.15487367000374952, 'ccp_alpha': 3.3958031237480593}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:46:27,321][0m Trial 75 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00039847465207327375, 'n_estimators': 448, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.214958215865365, 'min_impurity_decrease': 0.05516118557041899, 'max_features': 0.9880901895777953, 'subsample': 0.1439254804752896, 'dropout_rate': 0.2340207057135037, 'ccp_alpha': 2.3568591476042497}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:48:00,989][0m Trial 76 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.00034534456551152057, 'n_estimators': 486, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.28436257874991133, 'min_impurity_decrease': 0.047299480837184445, 'max_features': 0.974317115179393, 'subsample': 0.3212553807644488, 'dropout_rate': 0.9582355862065385, 'ccp_alpha': 2.7138066593814743}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:51:08,772][0m Trial 77 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0015882095068161736, 'n_estimators': 480, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.283427392843938, 'min_impurity_decrease': 0.037237484384572514, 'max_features': 0.9561963620694011, 'subsample': 0.36119666664603556, 'dropout_rate': 0.2541313060884985, 'ccp_alpha': 1.5367145382275726}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:52:49,740][0m Trial 78 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 7.922832294084137e-05, 'n_estimators': 437, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.2653634044552472, 'min_impurity_decrease': 0.2028681736456158, 'max_features': 0.994895946303587, 'subsample': 0.3916045432093195, 'dropout_rate': 0.92149802557462, 'ccp_alpha': 1.0407111628321897}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:56:12,784][0m Trial 79 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.01441160809238645, 'n_estimators': 638, 'criterion': 'absolute_error', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.09380008752724722, 'min_impurity_decrease': 0.796732157408009, 'max_features': 0.5693374908054262, 'subsample': 0.35069474135940715, 'dropout_rate': 0.7355471398488806, 'ccp_alpha': 1.5697804469917411}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 13:59:31,940][0m Trial 80 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.011814664553907077, 'n_estimators': 722, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.10123074759594425, 'min_impurity_decrease': 0.33047706623053785, 'max_features': 0.5820069869058289, 'subsample': 0.3832745072256333, 'dropout_rate': 0.8093471085581104, 'ccp_alpha': 1.8063731531563676}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:01:47,240][0m Trial 81 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0017194906549874275, 'n_estimators': 381, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.381536994906629, 'min_impurity_decrease': 0.18571135599309857, 'max_features': 0.5003040466473411, 'subsample': 0.6871335911957639, 'dropout_rate': 0.06528875868405037, 'ccp_alpha': 0.8578683062268242}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:02:50,048][0m Trial 82 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006098169261280294, 'n_estimators': 296, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.32726047988234436, 'min_impurity_decrease': 0.26664365869985923, 'max_features': 0.9083911500284602, 'subsample': 0.8241710354794863, 'dropout_rate': 0.5307977325217967, 'ccp_alpha': 0.722942827392809}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:04:21,906][0m Trial 83 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0002498483843711901, 'n_estimators': 334, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.25387613689664523, 'min_impurity_decrease': 0.06305059637649219, 'max_features': 0.03543747005270907, 'subsample': 0.9356761243779481, 'dropout_rate': 0.4236872290085014, 'ccp_alpha': 1.2048529881828098}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:05:23,142][0m Trial 84 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.0001827205698076943, 'n_estimators': 251, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.24698508713780146, 'min_impurity_decrease': 0.8676864118566554, 'max_features': 0.018510611037371595, 'subsample': 0.6435756810214182, 'dropout_rate': 0.3033204968248087, 'ccp_alpha': 4.555034177382462}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:06:37,798][0m Trial 85 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 8.326409263491662e-05, 'n_estimators': 298, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.2699127411664032, 'min_impurity_decrease': 0.8470109291432644, 'max_features': 0.044286863114467334, 'subsample': 0.4368749274435449, 'dropout_rate': 0.36240495255567146, 'ccp_alpha': 4.457722040574003}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:07:36,091][0m Trial 86 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.00014112591764478568, 'n_estimators': 357, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.16087816406361463, 'min_impurity_decrease': 0.25912997144202315, 'max_features': 0.8822667133307518, 'subsample': 0.5871793205614898, 'dropout_rate': 0.48824782875180384, 'ccp_alpha': 4.5681409016749}. Best is trial 4 with value: 0.25.[0m
[32m[I 2022-04-13 14:08:05,278][0m Trial 87 finished with value: 0.25 and parameters: {'loss': 'coxph', 'learning_rate': 0.019015256523659426, 'n_estimators': 144, 'criterion': 'absolute_error', 'min_samples_split': 2, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.028569077376718655, 'min_impurity_decrease': 0.6798424173190807, 'max_features': 0.45284920574512016, 'subsample': 0.16214535368702326, 'dropout_rate': 0.18883584238689416, 'ccp_alpha': 2.2741287424308743}. Best is trial 4 with value: 0.25.[0m
