No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-13 12:14:46,363][0m Trial 50 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.03826028005783254, 'n_estimators': 309, 'criterion': 'friedman_mse', 'min_samples_split': 3, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.09693693089258283, 'min_impurity_decrease': 0.2564229125379938, 'max_features': 0.09590535271700107, 'subsample': 0.16756398367043224, 'dropout_rate': 0.13393468832066807, 'ccp_alpha': 3.1756168087671566}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:14:56,139][0m Trial 51 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0002451443439046272, 'n_estimators': 174, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.26708964585998823, 'min_impurity_decrease': 0.4156822972655204, 'max_features': 0.21830199621120355, 'subsample': 0.06520611272996944, 'dropout_rate': 0.08085330032877008, 'ccp_alpha': 2.818249168085847}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:14:59,930][0m Trial 52 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0074494420645355225, 'n_estimators': 123, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.2939260377242934, 'min_impurity_decrease': 0.5800565298277258, 'max_features': 0.2444455249949281, 'subsample': 0.05455795167201339, 'dropout_rate': 0.40782929753602876, 'ccp_alpha': 0.6250092809379191}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:04,142][0m Trial 53 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.01394801963072379, 'n_estimators': 115, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.041593127133934774, 'min_impurity_decrease': 0.5221881224319216, 'max_features': 0.8040531268466009, 'subsample': 0.01572574912718601, 'dropout_rate': 0.2391845340205842, 'ccp_alpha': 2.4432919743546835}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:11,379][0m Trial 54 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.004807952166972669, 'n_estimators': 176, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.27063079395187606, 'min_impurity_decrease': 0.9271844012527571, 'max_features': 0.7293952180547454, 'subsample': 0.6429119230721276, 'dropout_rate': 0.5291311746582189, 'ccp_alpha': 0.2180821829346592}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:32,606][0m Trial 55 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.03146103634827259, 'n_estimators': 255, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.1066826252921125, 'min_impurity_decrease': 0.6956601817741208, 'max_features': 0.39134899518866945, 'subsample': 0.15761307192651303, 'dropout_rate': 0.28333599363879375, 'ccp_alpha': 2.1733924243281812}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:39,736][0m Trial 56 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.050719618600582085, 'n_estimators': 151, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.04456601720666409, 'min_impurity_decrease': 0.9411510067591317, 'max_features': 0.18259447483362173, 'subsample': 0.24515931281011039, 'dropout_rate': 0.35437413122957834, 'ccp_alpha': 2.956310659977823}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:44,944][0m Trial 57 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0873572582700852, 'n_estimators': 126, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.03003900004603614, 'min_impurity_decrease': 0.9012166979038649, 'max_features': 0.08680308558225772, 'subsample': 0.20900030009575715, 'dropout_rate': 0.3999170439205457, 'ccp_alpha': 2.318248469803564}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:51,721][0m Trial 58 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017354018944302992, 'n_estimators': 132, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.045450187837888095, 'min_impurity_decrease': 0.5949009743750835, 'max_features': 0.2479778952209241, 'subsample': 0.215637601986658, 'dropout_rate': 0.23956090543410247, 'ccp_alpha': 1.9418042624026512}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:15:59,207][0m Trial 59 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00838937488252484, 'n_estimators': 154, 'criterion': 'squared_error', 'min_samples_split': 6, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.14095173314063308, 'min_impurity_decrease': 0.7339378787384105, 'max_features': 0.9680183272376504, 'subsample': 0.7223439145705554, 'dropout_rate': 0.44580772016756837, 'ccp_alpha': 0.6921741389827563}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:16:05,115][0m Trial 60 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 0.009848710675223549, 'n_estimators': 158, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.12629765495523035, 'min_impurity_decrease': 0.4997744387909724, 'max_features': 0.9340051823713434, 'subsample': 0.003770364708281359, 'dropout_rate': 0.5945213961192356, 'ccp_alpha': 0.7608918496410236}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:16:47,278][0m Trial 61 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.04046774145510272, 'n_estimators': 416, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.41348611329380247, 'min_impurity_decrease': 0.9907908903914175, 'max_features': 0.5781423478729671, 'subsample': 0.13685705312799362, 'dropout_rate': 0.44876874154792745, 'ccp_alpha': 2.677835790398694}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:17:01,988][0m Trial 62 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 5.1473384310376355e-05, 'n_estimators': 270, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3788076685873012, 'min_impurity_decrease': 0.886817252015293, 'max_features': 0.6336179336690235, 'subsample': 0.2610982196875451, 'dropout_rate': 0.629231516438119, 'ccp_alpha': 3.5383630450755716}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:17:51,498][0m Trial 63 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0443992241218905, 'n_estimators': 420, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.4597839531713385, 'min_impurity_decrease': 0.981392150953868, 'max_features': 0.8684680391225365, 'subsample': 0.43671087087028376, 'dropout_rate': 0.4435918239556958, 'ccp_alpha': 2.7253702351163716}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:18:17,455][0m Trial 64 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.62652219017749e-05, 'n_estimators': 362, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.37961553107469814, 'min_impurity_decrease': 0.6353925309480356, 'max_features': 0.6376976552084039, 'subsample': 0.5281144856134888, 'dropout_rate': 0.674193651003009, 'ccp_alpha': 3.785071075654035}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:18:52,894][0m Trial 65 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.028010718054187304, 'n_estimators': 416, 'criterion': 'absolute_error', 'min_samples_split': 9, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.4455988114147469, 'min_impurity_decrease': 0.6913897418839472, 'max_features': 0.8962369416779666, 'subsample': 0.4396197269206491, 'dropout_rate': 0.536782405867062, 'ccp_alpha': 4.190177276782447}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:19:17,006][0m Trial 66 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.2912561038332485e-05, 'n_estimators': 362, 'criterion': 'friedman_mse', 'min_samples_split': 10, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.07031469280725151, 'min_impurity_decrease': 0.16842561509017068, 'max_features': 0.48516289080898434, 'subsample': 0.3003229553033671, 'dropout_rate': 0.7783937831594796, 'ccp_alpha': 4.43904906410597}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:19:35,442][0m Trial 67 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 4.432979016520934e-06, 'n_estimators': 335, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.008552112077789432, 'min_impurity_decrease': 0.6876449746828595, 'max_features': 0.5815104902731071, 'subsample': 0.43066854178620734, 'dropout_rate': 0.6889921675110919, 'ccp_alpha': 4.169211759830614}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:19:45,111][0m Trial 68 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0003412831195714079, 'n_estimators': 281, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 5, 'min_weight_fraction_leaf': 0.35326066154092606, 'min_impurity_decrease': 0.04952997499638139, 'max_features': 0.634544689818304, 'subsample': 0.2789959364914129, 'dropout_rate': 0.9045854707296865, 'ccp_alpha': 1.5647259058619334}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:20:04,836][0m Trial 69 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 7.6040517654186325e-06, 'n_estimators': 332, 'criterion': 'absolute_error', 'min_samples_split': 8, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0018529347788475842, 'min_impurity_decrease': 0.17720615562015712, 'max_features': 0.5754653616440706, 'subsample': 0.9627320344874031, 'dropout_rate': 0.722309070293728, 'ccp_alpha': 4.316463716655471}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:22:19,445][0m Trial 70 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 4.4551680239479356e-05, 'n_estimators': 591, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.02327987575542484, 'min_impurity_decrease': 0.06102547617017448, 'max_features': 0.660207274101792, 'subsample': 0.5384650425638164, 'dropout_rate': 0.0388894519158009, 'ccp_alpha': 1.0592824210625422}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:27:18,974][0m Trial 71 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00028909372798663677, 'n_estimators': 883, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.18208043884858677, 'min_impurity_decrease': 0.09275342947403444, 'max_features': 0.5332025339552099, 'subsample': 0.6098212225156774, 'dropout_rate': 0.06235628935553063, 'ccp_alpha': 4.694126341805418}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:29:11,546][0m Trial 72 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00043745964128599703, 'n_estimators': 585, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.15775080926907564, 'min_impurity_decrease': 0.1254654328408894, 'max_features': 0.4960672378636007, 'subsample': 0.49680315904807726, 'dropout_rate': 0.19667741045995976, 'ccp_alpha': 3.724488746979115}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:29:28,230][0m Trial 73 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006709967109833323, 'n_estimators': 232, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.08455090027482558, 'min_impurity_decrease': 0.19653291858826574, 'max_features': 0.29317209163625946, 'subsample': 0.3600028861379883, 'dropout_rate': 0.16759583353414986, 'ccp_alpha': 4.711951536342819}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:32:56,884][0m Trial 74 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00020585369834597204, 'n_estimators': 792, 'criterion': 'friedman_mse', 'min_samples_split': 2, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.16454588647487017, 'min_impurity_decrease': 0.09016429012490028, 'max_features': 0.4493337978834697, 'subsample': 0.4666663313812257, 'dropout_rate': 0.1816187591305895, 'ccp_alpha': 4.923710228122726}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:01,591][0m Trial 75 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011450088576095594, 'n_estimators': 103, 'criterion': 'squared_error', 'min_samples_split': 7, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.21052412591026626, 'min_impurity_decrease': 0.42930378664385643, 'max_features': 0.7890934075127378, 'subsample': 0.0626146811921129, 'dropout_rate': 0.11014152875029343, 'ccp_alpha': 0.5411789346791133}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:06,291][0m Trial 76 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.005056571040170955, 'n_estimators': 115, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.2848684531158752, 'min_impurity_decrease': 0.4021047406708051, 'max_features': 0.8066261096008978, 'subsample': 0.08327761717298186, 'dropout_rate': 0.09275421207270468, 'ccp_alpha': 0.49920632163898465}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:16,386][0m Trial 77 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.01313268323299197, 'n_estimators': 175, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.25376718383648517, 'min_impurity_decrease': 0.5185517323204594, 'max_features': 0.08561832922041376, 'subsample': 0.6682742191098868, 'dropout_rate': 0.3028545890564459, 'ccp_alpha': 0.23550553842241362}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:27,724][0m Trial 78 finished with value: -0.3514512504690143 and parameters: {'loss': 'squared', 'learning_rate': 0.006476559630162527, 'n_estimators': 194, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.2863718965573999, 'min_impurity_decrease': 0.6025668419025598, 'max_features': 0.12347594867821876, 'subsample': 0.169632364293959, 'dropout_rate': 0.2735054506210275, 'ccp_alpha': 0.22337468392982468}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:40,594][0m Trial 79 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.001568761343108991, 'n_estimators': 176, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 7, 'min_weight_fraction_leaf': 0.2564695013256683, 'min_impurity_decrease': 0.44830121722106614, 'max_features': 0.15698980950654134, 'subsample': 0.06812771553818862, 'dropout_rate': 0.12109629274429207, 'ccp_alpha': 0.07535919585793271}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:33:44,383][0m Trial 80 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.024138409427706314, 'n_estimators': 127, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.039596699749337716, 'min_impurity_decrease': 0.924642411409695, 'max_features': 0.04681462246881782, 'subsample': 0.14256682748431782, 'dropout_rate': 0.3764292572716175, 'ccp_alpha': 2.3430134758366714}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:34:04,917][0m Trial 81 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.014160118421105218, 'n_estimators': 250, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.3143007174755147, 'min_impurity_decrease': 0.5214538839692616, 'max_features': 0.19314794451676248, 'subsample': 0.6376179672215063, 'dropout_rate': 0.35338672313426506, 'ccp_alpha': 2.4682273298822226}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:34:10,657][0m Trial 82 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.09461005485810595, 'n_estimators': 122, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.05174628332198061, 'min_impurity_decrease': 0.6011882859488351, 'max_features': 0.2504930949782472, 'subsample': 0.2186259272876262, 'dropout_rate': 0.3944892996021726, 'ccp_alpha': 1.9289337745278403}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:34:14,512][0m Trial 83 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.003459483803984067, 'n_estimators': 133, 'criterion': 'squared_error', 'min_samples_split': 5, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.03326570085212109, 'min_impurity_decrease': 0.9424671947238303, 'max_features': 0.2622821420986756, 'subsample': 0.7529222056541965, 'dropout_rate': 0.42354277553187764, 'ccp_alpha': 2.0387138140373735}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:34:21,164][0m Trial 84 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.03365570907311992, 'n_estimators': 148, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 9, 'min_weight_fraction_leaf': 0.0594052978598358, 'min_impurity_decrease': 0.957548790524625, 'max_features': 0.7173526852329933, 'subsample': 0.8989412588926687, 'dropout_rate': 0.3321960892961371, 'ccp_alpha': 2.339836203996701}. Best is trial 20 with value: 0.6628528132859424.[0m
[32m[I 2022-04-13 12:34:27,282][0m Trial 85 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.05568192879633876, 'n_estimators': 149, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 10, 'min_weight_fraction_leaf': 0.10586288821950188, 'min_impurity_decrease': 0.8886451408908436, 'max_features': 0.9724201761318142, 'subsample': 0.1311554112905458, 'dropout_rate': 0.4892256916147025, 'ccp_alpha': 2.0660966491464277}. Best is trial 20 with value: 0.6628528132859424.[0m
